"","age","gender","raceethnicity","city","state","armed","pop","share_black","share_hispanic","college","cluster"
"238",52,2,5,121,35,2,5977,"4.9","0.5",0.347386588,2
"239",30,2,5,206,34,4,6081,"16.6","36.3",0.234789009,2
"240",23,2,5,273,5,2,6230,"18.3","39.2",0.169544297,2
"241",35,2,5,39,3,3,4227,"4.4","10.4",0.207895842,1
"242",42,2,2,12,41,4,5947,"9.1","37.7",0.390316206,2
"243",37,2,5,234,10,4,3660,"30","0.1",0.169018933,1
"244",56,2,3,167,41,4,4966,"4.9","67.2",0.050646175,1
"245",36,2,3,99,5,1,4759,"24.5","26",0.144635049,1
"246",27,2,3,73,5,2,13987,"2.7","80",0.084873066,2
"247",30,2,5,122,45,2,4716,"8.5","4",0.213095586,1
"248",31,2,5,260,15,2,2680,"3.8","10.3",0.131664853,1
"249",46,2,5,219,10,2,3748,"13.1","56",0.146364057,1
"250",51,2,5,265,36,2,2808,"1.7","3.5",0.145865434,1
"251",28,2,5,136,5,3,3859,"9.3","48.6",0.064474254,1
"252",63,2,5,117,4,2,6257,"9.4","18.8",0.245041426,2
"253",28,2,5,306,5,2,5153,"0.7","26.2",0.350638761,1
"254",33,2,3,183,4,3,5442,"1.8","41.3",0.198295641,1
"255",24,2,3,311,41,3,1363,"1","51.7",0.117073171,1
"256",27,2,5,178,15,2,4792,"8.9","3.2",0.247985121,1
"257",24,2,4,172,4,2,5808,"0.3","2.7",0.102930128,2
"258",28,2,5,298,24,2,4264,"22.7","10.9",0.161686451,1
"259",28,2,5,296,10,2,26826,"4.6","9.2",0.458288579,2
"260",17,2,2,345,15,2,3111,"40.7","26.2",0.101003764,1
"261",46,1,5,282,5,7,4082,"1.5","10.9",0.400197954,1
"262",52,2,2,100,34,2,3535,"21.4","28.2",0.172615185,1
"263",39,2,2,15,6,7,3219,"17.2","42.1",0.263902439,1
"264",49,1,5,229,4,5,3803,"9.1","52.8",0.100755668,1
"265",30,2,2,107,41,4,5863,"20.5","18.4",0.368676546,2
"266",51,2,5,230,4,4,3817,"3.5","14.3",0.190435887,1
"267",16,2,2,145,10,2,4294,"93.6","0.7",0.105285592,1
"268",18,2,5,126,36,5,3014,"17.4","6.4",0.105675147,1
"269",22,2,3,46,4,4,4378,"4","30.3",0.269216758,1
"270",40,2,2,42,11,2,8081,"26.3","4.3",0.17954453,2
"271",61,2,5,288,22,3,3045,"0.3","0.6",0.144492132,1
"272",52,2,5,288,9,2,13561,"24.6","5.2",0.241391224,2
"273",51,2,5,143,16,2,6142,"29.3","6",0.090463918,2
"274",36,2,2,173,31,2,4702,"1.1","17.3",0.294627383,1
"275",36,2,5,259,42,4,7753,"0","10.8",0.199397288,2
"276",59,2,5,61,39,4,3276,"17.6","2.7",0.470207254,1
"277",17,1,5,169,41,2,4045,"34.1","19.7",0.174307036,1
"278",18,2,5,321,23,4,3088,"1.3","5.7",0.236224029,1
"279",41,2,5,208,41,6,1683,"0.6","7.6",0.140482128,1
